N,|E1/B0_eff|,|E2/B0_eff|
677,8.67648E-08,7.12077E-07
678,8.64516E-08,7.10063E-07
679,8.61401E-08,7.08058E-07
680,8.58301E-08,7.06061E-07
681,8.55216E-08,7.04073E-07
682,8.52148E-08,7.02093E-07
683,8.49095E-08,7.00122E-07
684,8.46057E-08,6.9816E-07
685,8.43034E-08,6.96205E-07
686,8.40027E-08,6.94259E-07
687,8.37034E-08,6.92322E-07
688,8.34057E-08,6.90392E-07
689,8.31094E-08,6.88471E-07
690,8.28147E-08,6.86558E-07
691,8.25214E-08,6.84653E-07
692,8.22295E-08,6.82757E-07
693,8.19391E-08,6.80868E-07
694,8.16502E-08,6.78987E-07
695,8.13627E-08,6.77114E-07
696,8.10766E-08,6.75249E-07
697,8.07919E-08,6.73392E-07
698,8.05086E-08,6.71542E-07
699,8.02267E-08,6.69701E-07
700,7.99462E-08,6.67867E-07
701,7.96671E-08,6.66041E-07
702,7.93893E-08,6.64222E-07
703,7.9113E-08,6.62411E-07
704,7.88379E-08,6.60607E-07
705,7.85642E-08,6.58811E-07
706,7.82919E-08,6.57023E-07
707,7.80208E-08,6.55241E-07
708,7.77511E-08,6.53468E-07
709,7.74827E-08,6.51701E-07
710,7.72156E-08,6.49942E-07
711,7.69498E-08,6.4819E-07
712,7.66853E-08,6.46445E-07
713,7.6422E-08,6.44708E-07
714,7.61601E-08,6.42977E-07
715,7.58994E-08,6.41254E-07
716,7.56399E-08,6.39537E-07
717,7.53817E-08,6.37828E-07
718,7.51247E-08,6.36126E-07
719,7.4869E-08,6.3443E-07
720,7.46145E-08,6.32742E-07
721,7.43612E-08,6.3106E-07
722,7.41091E-08,6.29385E-07
723,7.38582E-08,6.27717E-07
724,7.36085E-08,6.26056E-07
725,7.336E-08,6.24401E-07
726,7.31126E-08,6.22753E-07
727,7.28665E-08,6.21112E-07
728,7.26215E-08,6.19477E-07
729,7.23777E-08,6.17849E-07
730,7.2135E-08,6.16228E-07
731,7.18934E-08,6.14612E-07
732,7.1653E-08,6.13004E-07
733,7.14137E-08,6.11402E-07
734,7.11756E-08,6.09806E-07
735,7.09386E-08,6.08216E-07
736,7.07026E-08,6.06633E-07
737,7.04678E-08,6.05056E-07
738,7.02341E-08,6.03486E-07
739,7.00014E-08,6.01921E-07
740,6.97699E-08,6.00363E-07
741,6.95394E-08,5.98811E-07
742,6.931E-08,5.97265E-07
743,6.90817E-08,5.95725E-07
744,6.88544E-08,5.94192E-07
745,6.86281E-08,5.92664E-07
746,6.8403E-08,5.91142E-07
747,6.81788E-08,5.89626E-07
748,6.79557E-08,5.88116E-07
749,6.77336E-08,5.86612E-07
750,6.75125E-08,5.85114E-07
751,6.72925E-08,5.83622E-07
752,6.70734E-08,5.82136E-07
753,6.68554E-08,5.80655E-07
754,6.66383E-08,5.7918E-07
755,6.64223E-08,5.77711E-07
756,6.62072E-08,5.76248E-07
757,6.59931E-08,5.7479E-07
758,6.578E-08,5.73337E-07
759,6.55678E-08,5.71891E-07
760,6.53566E-08,5.7045E-07
761,6.51464E-08,5.69014E-07
762,6.49371E-08,5.67584E-07
763,6.47288E-08,5.6616E-07
764,6.45214E-08,5.64741E-07
765,6.43149E-08,5.63327E-07
766,6.41094E-08,5.61919E-07
767,6.39048E-08,5.60516E-07
768,6.37011E-08,5.59119E-07
769,6.34983E-08,5.57727E-07
770,6.32964E-08,5.5634E-07
771,6.30955E-08,5.54958E-07
772,6.28954E-08,5.53582E-07
773,6.26962E-08,5.52211E-07
774,6.24979E-08,5.50845E-07
775,6.23005E-08,5.49484E-07
776,6.2104E-08,5.48128E-07
777,6.19083E-08,5.46777E-07
778,6.17135E-08,5.45432E-07
779,6.15196E-08,5.44092E-07
780,6.13265E-08,5.42756E-07
781,6.11343E-08,5.41426E-07
782,6.09429E-08,5.401E-07
783,6.07524E-08,5.3878E-07
