N, |E1/B0_eff|, |E2/B0_eff|, |E3/E3_main_decay|, |E3_main_decay/B0_eff|, |E3/B0_eff|, (|E1|+|E2|+|E3|)/|B0_eff|
961, 0.0000000367809615762231021696861159289, 0.000000364107251624308987528678084388, 0.209420735944837476911000298538, 0.000350647998961462865192734786307, 0.0000734329620000941605265080621607, 0.000073833850213294692616206426361
962, 0.0000000366873982422665292462352261092, 0.000000363384480247281562278920464784, 0.2094195725174637163509175494, 0.000349892559664548727533758704026, 0.000073274350271990962340816900952, 0.0000736744221504805104323420566428
963, 0.0000000365941702252629540372907152929, 0.000000362663901570784448793458060584, 0.209418411509500812889842197178, 0.000349139454816663303538934926684, 0.000073116230022998761390140712858, 0.0000735154880947948087929714616339
964, 0.0000000365012759781305873721742539076, 0.000000361945506656273889546964983381, 0.209417252913409659591797966851, 0.000348388674960535479473622211561, 0.0000729585992563781295612086303102, 0.0000733570460390125340381277695475
965, 0.0000000364087139625100516131032590919, 0.000000361229286610921878992666662667, 0.209416096721682440421101503456, 0.000347640210686427054531191981729, 0.0000728014559854548695853879020183, 0.00007319909398602830151599367194
966, 0.0000000363164826487063039363230665409, 0.000000360515232587335087111150939637, 0.209414942926842468070376478994, 0.000346894052631847103370352016797, 0.0000726447982335593484054065188119, 0.0000730416299487953897964539928181
967, 0.0000000362245805156310053981306290674, 0.000000359803335783275800723441140572, 0.209413791521444022796113811909, 0.000346150191481268337429691088505, 0.0000724886240339662563670564547665, 0.0000728846519502651631731780265361
968, 0.0000000361330060507453319115409109015, 0.000000359093587441384866010836532441, 0.209412642498072192254482561373, 0.000345408617965845449050816261557, 0.0000723329314298347888232475193517, 0.000072728158023326919021169896795
969, 0.0000000360417577500032232969419492954, 0.00000035838597884890661583685256345, 0.209411495849342712330156367397, 0.000344669322863135422584922091131, 0.0000721777184741492467685391157935, 0.0000725721462107481566076729103062
970, 0.0000000359508341177950666072765406497, 0.000000357680501337415765617853578508, 0.209410351567901808950980056286, 0.00034393229699681979679961811635, 0.0000720229832296600531527163944203, 0.0000724166145651152639849415245394
