t,zero_1,zero_2,zero_3,zero_4,zero_5
0.215,28.14493156,41.88210259,49.89560214,60.64569707,65.76887744
0.216,28.14435288,41.88135083,49.89501484,60.64475419,65.76840118
0.217,28.1437742,41.88059908,49.89442753,60.64381137,65.76792488
0.218,28.14319553,41.87984734,49.89384021,60.64286861,65.76744854
0.219,28.14261686,41.87909562,49.89325289,60.6419259,65.76697214
0.22,28.1420382,41.87834392,49.89266556,60.64098325,65.76649568
0.221,28.14145954,41.87759222,49.89207823,60.64004065,65.76601919
0.222,28.14088089,41.87684055,49.89149089,60.63909811,65.76554265
0.223,28.14030224,41.87608889,49.89090354,60.63815563,65.76506607
0.224,28.1397236,41.87533724,49.89031618,60.63721319,65.76458942
0.225,28.13914496,41.87458561,49.88972882,60.63627082,65.76411272
0.226,28.13856632,41.87383399,49.88914145,60.63532851,65.763636
0.227,28.13798769,41.87308239,49.88855408,60.63438625,65.76315922
0.228,28.13740906,41.8723308,49.88796669,60.63344404,65.76268238
0.229,28.13683044,41.87157923,49.8873793,60.6325019,65.76220552
0.23,28.13625182,41.87082768,49.88679191,60.6315598,65.76172859
0.231,28.13567321,41.87007613,49.88620451,60.63061777,65.76125158
0.232,28.1350946,41.86932461,49.8856171,60.62967579,65.76077458
0.233,28.13451599,41.86857309,49.88502968,60.62873387,65.76029749
0.234,28.13393739,41.8678216,49.88444226,60.627792,65.75982038
0.235,28.1333588,41.86707011,49.88385483,60.62685019,65.75934322
0.236,28.13278021,41.86631864,49.8832674,60.62590843,65.758866
0.237,28.13220162,41.86556719,49.88267996,60.62496673,65.75838873
0.238,28.13162304,41.86481575,49.88209251,60.62402509,65.75791144
0.239,28.13104446,41.86406433,49.88150506,60.6230835,65.75743408
0.24,28.13046588,41.86331292,49.88091759,60.62214197,65.75695666
0.241,28.12988731,41.86256153,49.88033013,60.62120049,65.7564792
0.242,28.12930875,41.86181015,49.87974265,60.62025907,65.75600171
0.243,28.12873019,41.86105878,49.87915517,60.61931771,65.75552417
0.244,28.12815163,41.86030744,49.87856768,60.6183764,65.75504657
0.245,28.12757308,41.8595561,49.87798019,60.61743515,65.75456891
0.246,28.12699453,41.85880478,49.87739269,60.61649395,65.75409123
0.247,28.12641599,41.85805348,49.87680518,60.61555281,65.75361349
0.248,28.12583745,41.85730219,49.87621767,60.61461172,65.7531357
0.249,28.12525892,41.85655091,49.87563015,60.61367069,65.75265785
0.25,28.12468039,41.85579965,49.87504262,60.61272972,65.75217998
0.251,28.12410186,41.85504841,49.87445508,60.6117888,65.75170204
0.252,28.12352334,41.85429718,49.87386754,60.61084794,65.75122408
0.253,28.12294483,41.85354596,49.87328,60.60990713,65.75074605
0.254,28.12236632,41.85279476,49.87269244,60.60896638,65.75026797
0.255,28.12178781,41.85204357,49.87210488,60.60802568,65.74978985
0.256,28.12120931,41.8512924,49.87151732,60.60708504,65.7493117
0.257,28.12063081,41.85054125,49.87092974,60.60614446,65.74883346
0.258,28.12005231,41.8497901,49.87034216,60.60520393,65.74835521
0.259,28.11947382,41.84903898,49.86975458,60.60426346,65.74787689
0.26,28.11889534,41.84828787,49.86916698,60.60332304,65.74739855
0.261,28.11831686,41.84753677,49.86857938,60.60238268,65.74692014
0.262,28.11773838,41.84678569,49.86799178,60.60144237,65.74644169
0.263,28.11715991,41.84603462,49.86740416,60.60050212,65.74596318
0.264,28.11658144,41.84528357,49.86681655,60.59956192,65.74548465
0.265,28.11600298,41.84453253,49.86622892,60.59862179,65.74500604
0.266,28.11542452,41.84378151,49.86564129,60.5976817,65.7445274
0.267,28.11484607,41.8430305,49.86505365,60.59674167,65.74404872
0.268,28.11426762,41.8422795,49.864466,60.5958017,65.74356998
0.269,28.11368917,41.84152853,49.86387835,60.59486178,65.74309119
0.27,28.11311073,41.84077756,49.86329069,60.59392192,65.74261236
0.271,28.11253229,41.84002661,49.86270303,60.59298211,65.74213348
0.272,28.11195386,41.83927568,49.86211535,60.59204236,65.74165456
0.273,28.11137543,41.83852476,49.86152768,60.59110266,65.74117559
0.274,28.11079701,41.83777386,49.86093999,60.59016302,65.74069657
0.275,28.11021859,41.83702297,49.8603523,60.58922343,65.74021749
0.276,28.10964018,41.83627209,49.8597646,60.5882839,65.7397384
0.277,28.10906177,41.83552123,49.8591769,60.58734443,65.73925922
0.278,28.10848336,41.83477039,49.85858918,60.586405,65.73878001
0.279,28.10790496,41.83401956,49.85800147,60.58546564,65.73830076
0.28,28.10732656,41.83326874,49.85741374,60.58452633,65.73782146
0.281,28.10674817,41.83251794,49.85682601,60.58358707,65.73734212
0.282,28.10616978,41.83176715,49.85623827,60.58264787,65.73686271
0.283,28.1055914,41.83101638,49.85565053,60.58170873,65.73638327
0.284,28.10501302,41.83026563,49.85506278,60.58076964,65.73590378
0.285,28.10443465,41.82951489,49.85447502,60.57983061,65.73542426
0.286,28.10385628,41.82876416,49.85388726,60.57889163,65.73494466
0.287,28.10327791,41.82801345,49.85329949,60.5779527,65.73446501
0.288,28.10269955,41.82726275,49.85271171,60.57701383,65.73398535
0.289,28.10212119,41.82651207,49.85212393,60.57607502,65.73350564
0.29,28.10154284,41.8257614,49.85153614,60.57513626,65.73302588
0.291,28.10096449,41.82501075,49.85094834,60.57419756,65.73254605
0.292,28.10038615,41.82426011,49.85036054,60.57325891,65.73206617
0.293,28.09980781,41.82350949,49.84977273,60.57232032,65.73158627
0.294,28.09922948,41.82275888,49.84918492,60.57138178,65.73110629
0.295,28.09865115,41.82200828,49.84859709,60.5704433,65.73062628
0.296,28.09807282,41.82125771,49.84800926,60.56950487,65.73014625
0.297,28.0974945,41.82050714,49.84742143,60.56856649,65.72966614
0.298,28.09691618,41.81975659,49.84683359,60.56762818,65.72918599
0.299,28.09633787,41.81900606,49.84624574,60.56668991,65.72870579
0.3,28.09575956,41.81825554,49.84565788,60.5657517,65.72822555
0.301,28.09518126,41.81750503,49.84507002,60.56481355,65.72774528
0.302,28.09460296,41.81675454,49.84448215,60.56387545,65.72726494
0.303,28.09402466,41.81600407,49.84389428,60.56293741,65.72678456
0.304,28.09344637,41.81525361,49.8433064,60.56199942,65.72630413
0.305,28.09286809,41.81450316,49.84271851,60.56106148,65.72582365
0.306,28.09228981,41.81375273,49.84213062,60.5601236,65.72534313
0.307,28.09171153,41.81300232,49.84154272,60.55918578,65.72486257
0.308,28.09113326,41.81225191,49.84095481,60.558248,65.72438196
0.309,28.09055499,41.81150153,49.8403669,60.55731029,65.72390129
0.31,28.08997672,41.81075116,49.83977898,60.55637263,65.7234206
0.311,28.08939847,41.8100008,49.83919105,60.55543503,65.72293983
0.312,28.08882021,41.80925046,49.83860312,60.55449747,65.72245903
0.313,28.08824196,41.80850013,49.83801518,60.55355998,65.72197818
0.314,28.08766371,41.80774982,49.83742723,60.55262253,65.72149729
0.315,28.08708547,41.80699952,49.83683928,60.55168515,65.72101636
0.316,28.08650724,41.80624924,49.83625132,60.55074781,65.72053537
0.317,28.085929,41.80549897,49.83566335,60.54981054,65.72005434
0.318,28.08535078,41.80474871,49.83507538,60.54887331,65.71957327
0.319,28.08477255,41.80399847,49.8344874,60.54793614,65.71909214
0.32,28.08419433,41.80324825,49.83389942,60.54699903,65.71861096
0.321,28.08361612,41.80249804,49.83331143,60.54606197,65.71812975
0.322,28.08303791,41.80174785,49.83272343,60.54512496,65.71764849
0.323,28.0824597,41.80099767,49.83213543,60.54418802,65.71716718
0.324,28.0818815,41.8002475,49.83154741,60.54325112,65.71668582
0.325,28.0813033,41.79949735,49.8309594,60.54231428,65.71620441
0.326,28.08072511,41.79874722,49.83037137,60.54137749,65.71572295
0.327,28.08014692,41.7979971,49.82978334,60.54044076,65.71524146
0.328,28.07956874,41.79724699,49.82919531,60.53950408,65.71475992
0.329,28.07899056,41.7964969,49.82860726,60.53856746,65.71427833
0.33,28.07841238,41.79574682,49.82801921,60.53763089,65.7137967
0.331,28.07783421,41.79499676,49.82743116,60.53669437,65.71331502
0.332,28.07725605,41.79424671,49.82684309,60.53575791,65.71283329
0.333,28.07667788,41.79349668,49.82625503,60.5348215,65.71235151
0.334,28.07609973,41.79274666,49.82566695,60.53388515,65.71186969
0.335,28.07552158,41.79199666,49.82507887,60.53294886,65.71138783
0.336,28.07494343,41.79124667,49.82449078,60.53201261,65.71090592
0.337,28.07436528,41.7904967,49.82390268,60.53107642,65.71042397
0.338,28.07378714,41.78974674,49.82331458,60.53014029,65.70994196
0.339,28.07320901,41.7889968,49.82272648,60.52920421,65.70945991
0.34,28.07263088,41.78824687,49.82213836,60.52826818,65.70897782
0.341,28.07205275,41.78749695,49.82155024,60.52733221,65.70849567
0.342,28.07147463,41.78674705,49.82096211,60.52639629,65.70801349
0.343,28.07089651,41.78599717,49.82037398,60.52546043,65.70753126
0.344,28.0703184,41.7852473,49.81978584,60.52452462,65.70704895
0.345,28.06974029,41.78449744,49.81919769,60.52358886,65.70656664
0.346,28.06916219,41.7837476,49.81860954,60.52265317,65.70608426
0.347,28.06858409,41.78299778,49.81802138,60.52171752,65.70560186
0.348,28.06800599,41.78224797,49.81743322,60.52078192,65.7051194
0.349,28.0674279,41.78149817,49.81684504,60.51984639,65.70463687
0.35,28.06684982,41.78074839,49.81625686,60.5189109,65.70415432
0.351,28.06627173,41.77999862,49.81566868,60.51797547,65.70367173
0.352,28.06569366,41.77924887,49.81508049,60.51704009,65.70318907
0.353,28.06511558,41.77849913,49.81449229,60.51610477,65.70270639
0.354,28.06453752,41.77774941,49.81390408,60.5151695,65.70222366
0.355,28.06395945,41.7769997,49.81331587,60.51423429,65.70174085
0.356,28.06338139,41.77625001,49.81272766,60.51329913,65.70125803
0.357,28.06280334,41.77550033,49.81213943,60.51236402,65.70077516
0.358,28.06222529,41.77475067,49.8115512,60.51142897,65.70029222
0.359,28.06164724,41.77400102,49.81096297,60.51049398,65.69980927
0.36,28.0610692,41.77325138,49.81037472,60.50955903,65.69932626
0.361,28.06049116,41.77250176,49.80978647,60.50862414,65.69884318
0.362,28.05991313,41.77175216,49.80919822,60.5076893,65.6983601
0.363,28.0593351,41.77100257,49.80860996,60.50675452,65.69787694
0.364,28.05875708,41.77025299,49.80802169,60.50581979,65.69739374
0.365,28.05817906,41.76950343,49.80743341,60.50488512,65.6969105
0.366,28.05760104,41.76875389,49.80684513,60.5039505,65.69642721
0.367,28.05702303,41.76800435,49.80625684,60.50301593,65.69594388
0.368,28.05644503,41.76725484,49.80566855,60.50208141,65.6954605
0.369,28.05586702,41.76650534,49.80508025,60.50114696,65.69497707
0.37,28.05528903,41.76575585,49.80449194,60.50021255,65.69449359
0.371,28.05471103,41.76500638,49.80390363,60.4992782,65.6940101
0.372,28.05413304,41.76425692,49.80331531,60.4983439,65.69352653
0.373,28.05355506,41.76350747,49.80272698,60.49740966,65.69304292
0.374,28.05297708,41.76275805,49.80213865,60.49647547,65.69255926
0.375,28.05239911,41.76200863,49.80155031,60.49554133,65.69207558
0.376,28.05182114,41.76125923,49.80096196,60.49460725,65.69159183
0.377,28.05124317,41.76050985,49.80037361,60.49367322,65.69110803
0.378,28.05066521,41.75976048,49.79978525,60.49273924,65.69062419
0.379,28.05008725,41.75901113,49.79919689,60.49180532,65.69014032
0.38,28.0495093,41.75826179,49.79860852,60.49087145,65.6896564
0.381,28.04893135,41.75751246,49.79802014,60.48993763,65.68917242
0.382,28.0483534,41.75676315,49.79743176,60.48900387,65.68868841
0.383,28.04777546,41.75601385,49.79684337,60.48807016,65.68820436
0.384,28.04719753,41.75526457,49.79625497,60.48713651,65.68772024
0.385,28.0466196,41.75451531,49.79566657,60.48620291,65.6872361
0.386,28.04604167,41.75376605,49.79507816,60.48526936,65.68675188
0.387,28.04546375,41.75301682,49.79448974,60.48433587,65.68626765
0.388,28.04488583,41.75226759,49.79390132,60.48340243,65.68578335
0.389,28.04430792,41.75151839,49.79331289,60.48246904,65.68529903
0.39,28.04373001,41.75076919,49.79272445,60.48153571,65.68481465
0.391,28.04315211,41.75002001,49.79213601,60.48060243,65.68433023
